HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1051035300 501.156 335.012 431.638 688.442 653.899 607.431 751.946 270.797 446.449 177.757 841.437 566.432 573.333 591.457 640.195
1051014470 358.324 240.103 256.549 477.549 304.187 299.942 408.888 297.86 393.513 198.824 472.3 359.309 387.226 402.236 465.087
1051014460 270.101 161.372 235.754 339.947 285.971 283.819 260.665 230.973 322.828 178.334 294.808 306.352 264.139 284.577 301.794
1050992050 846.678 536.306 538.818 1012.799 1143.817 1027.57 1086.78 441.727 632.823 227.861 1160.375 403.547 894.857 900.391 1106.981
1050991900 783.705 423.175 514.125 851.97 1505.763 1609.09 930.415 392.114 588.218 213.034 971.361 520.109 811.634 844.749 788.423
1050982500 360.815 242.844 317.041 511.822 367.93 360.659 540.293 234.925 351.401 162.161 816.578 551.638 391.357 418.902 416.022
1050982060 344.295 186.035 237.263 440.987 367.977 355.973 292.056 236.525 324.552 152.737 370.644 308.75 332.594 342.158 343.617
1050929730 633.97 504.991 455.993 796.75 531.795 590.972 981.771 330.077 510.102 199.756 1132.435 877.404 770.988 798.739 954.239
1050929860 392.954 294.041 303.181 551.641 402.071 395.851 420.793 343.042 485.976 219.03 701.628 575.764 531.129 545.121 615.333
1050918220 547.182 442.655 414.89 653.575 446.661 435.462 925.185 347.161 476.12 210.871 1055.679 908.923 785.355 802.09 862.428
1050918230 628.127 598.27 389.648 755.728 548.458 533.836 830.426 517.585 669.326 318.231 793.675 773.671 906.265 897.576 759.417
1050901700 876.124 581.909 490.219 1020.273 1336.375 1333.994 1018.241 498.769 765.074 242.595 1082.663 696.241 983.36 992.532 889.412
1050901710 812.466 696.344 387.591 875.648 754.41 698.607 974.95 631.499 821.605 368.464 992.47 692.366 1098.531 1093.622 938.892
1050008110 647.764 288.561 547.848 519.068 452.614 454.736 550.965 329.583 609.622 224.239 531.642 408.196 591.118 603.653 481.827
1050008470 637.318 259.532 687.332 677.884 582.41 588.917 657.983 276.851 496.711 193.075 869.47 526.86 595.236 627.626 704.809
1050008480 799.192 270.846 867.575 837.289 573.952 791.773 824.385 188.671 621.928 141.834 929.411 367.243 587.871 631.245 360.322
1050008570 686.835 261.801 637.565 733.186 785.176 787.577 694.259 306.567 505.351 203.471 894.401 573.729 612.468 651.681 813.226
1050008580 913.922 287.033 771.345 763.25 684.181 674.657 728.306 326.602 622.141 238.936 866.374 483.108 672.174 743.615 910.13
1050009010 719.259 330.015 532.803 798.571 731.813 701.973 738.847 474.487 584.877 365.781 907.631 534.43 670.601 722.43 809.719
1050009020 1062.411 438.198 1058.549 992.987 980 1016.496 1012.525 536.299 719.72 412.561 1222.261 658.355 904.392 1001.326 1062.1
1050009130 798.394 536.58 681.449 779.306 738.925 713.676 784.115 812.949 791.757 620.471 885.101 645.19 837.217 848.264 775.344
1050009140 1050.431 433.518 1102.591 937.7 908.359 959.055 908.09 512.149 873.843 458.602 1153.066 0 1033.752 1070.178 1149.489
