HydroSHEDS_ID Area AI_Actual CHIRPSv2.0.AVHRR.NTSG CHIRPSv2.0.BESS CHIRPSv2.0.CSIRO.PMLv2.0 CHIRPSv2.0.FluxCom.RS CHIRPSv2.0.GLEAMv3.3a CHIRPSv2.0.GLEAMv3.3b CHIRPSv2.0.MOD16A3 CHIRPSv2.0.SSEBOpv4.0 CMORPHv0.x.RAW.AVHRR.NTSG CMORPHv0.x.RAW.BESS CMORPHv0.x.RAW.CSIRO.PMLv2.0 CMORPHv0.x.RAW.FluxCom.RS CMORPHv0.x.RAW.GLEAMv3.3a CMORPHv0.x.RAW.GLEAMv3.3b CMORPHv0.x.RAW.MOD16A3 CMORPHv0.x.RAW.SSEBOpv4.0 PERSIANN.CCS.AVHRR.NTSG PERSIANN.CCS.BESS PERSIANN.CCS.CSIRO.PMLv2.0 PERSIANN.CCS.FluxCom.RS PERSIANN.CCS.GLEAMv3.3a PERSIANN.CCS.GLEAMv3.3b PERSIANN.CCS.MOD16A3 PERSIANN.CCS.SSEBOpv4.0 PERSIANN.CDR.AVHRR.NTSG PERSIANN.CDR.BESS PERSIANN.CDR.CSIRO.PMLv2.0 PERSIANN.CDR.FluxCom.RS PERSIANN.CDR.GLEAMv3.3a PERSIANN.CDR.GLEAMv3.3b PERSIANN.CDR.MOD16A3 PERSIANN.CDR.SSEBOpv4.0 PERSIANN.AVHRR.NTSG PERSIANN.BESS PERSIANN.CSIRO.PMLv2.0 PERSIANN.FluxCom.RS PERSIANN.GLEAMv3.3a PERSIANN.GLEAMv3.3b PERSIANN.MOD16A3 PERSIANN.SSEBOpv4.0 TRMM.3B42RT.AVHRR.NTSG TRMM.3B42RT.BESS TRMM.3B42RT.CSIRO.PMLv2.0 TRMM.3B42RT.FluxCom.RS TRMM.3B42RT.GLEAMv3.3a TRMM.3B42RT.GLEAMv3.3b TRMM.3B42RT.MOD16A3 TRMM.3B42RT.SSEBOpv4.0 TRMM.3B43.AVHRR.NTSG TRMM.3B43.BESS TRMM.3B43.CSIRO.PMLv2.0 TRMM.3B43.FluxCom.RS TRMM.3B43.GLEAMv3.3a TRMM.3B43.GLEAMv3.3b TRMM.3B43.MOD16A3 TRMM.3B43.SSEBOpv4.0
1050005720 5339.9 11.9452 7.5848 7.5848 7.5848 7.5848 7.5848 7.5848 7.5848 7.5848 8.8044 8.8044 8.8044 8.8044 8.8044 8.8044 8.8044 8.8044 4.8166 4.8166 4.8166 4.8166 4.8166 4.8166 4.8166 4.8166 5.2604 5.2604 5.2604 5.2604 5.2604 5.2604 5.2604 5.2604 7.7581 7.7581 7.7581 7.7581 7.7581 7.7581 7.7581 7.7581 5.7311 5.7311 5.7311 5.7311 5.7311 5.7311 5.7311 5.7311 5.6421 5.6421 5.6421 5.6421 5.6421 5.6421 5.6421 5.6421
1050005730 3028.6 17.9132 10.5846 10.5846 10.5846 10.5846 10.5846 10.5846 10.5846 10.5846 22.9916 22.9916 22.9916 22.9916 22.9916 22.9916 22.9916 22.9916 8.7001 8.7001 8.7001 8.7001 8.7001 8.7001 8.7001 8.7001 7.934 7.934 7.934 7.934 7.934 7.934 7.934 7.934 10.6695 10.6695 10.6695 10.6695 10.6695 10.6695 10.6695 10.6695 10.436 10.436 10.436 10.436 10.436 10.436 10.436 10.436 9.9859 9.9859 9.9859 9.9859 9.9859 9.9859 9.9859 9.9859
1050005860 4797.4 7.6346 7.4531 7.4531 7.4531 7.4531 7.4531 7.4531 7.4531 7.4531 9.0322 9.0322 9.0322 9.0322 9.0322 9.0322 9.0322 9.0322 5.0265 5.0265 5.0265 5.0265 5.0265 5.0265 5.0265 5.0265 4.9335 4.9335 4.9335 4.9335 4.9335 4.9335 4.9335 4.9335 8.2866 8.2866 8.2866 8.2866 8.2866 8.2866 8.2866 8.2866 6.0444 6.0444 6.0444 6.0444 6.0444 6.0444 6.0444 6.0444 5.4646 5.4646 5.4646 5.4646 5.4646 5.4646 5.4646 5.4646
1050005870 477.4 25.6621 13.7077 13.7077 13.7077 13.7077 13.7077 13.7077 13.7077 13.7077 23.4331 23.4331 23.4331 23.4331 23.4331 23.4331 23.4331 23.4331 10.2417 10.2417 10.2417 10.2417 10.2417 10.2417 10.2417 10.2417 7.2009 7.2009 7.2009 7.2009 7.2009 7.2009 7.2009 7.2009 13.6486 13.6486 13.6486 13.6486 13.6486 13.6486 13.6486 13.6486 11.1649 11.1649 11.1649 11.1649 11.1649 11.1649 11.1649 11.1649 10.3947 10.3947 10.3947 10.3947 10.3947 10.3947 10.3947 10.3947
1050005880 4169.8 10.5187 9.981 9.981 9.981 9.981 9.981 9.981 9.981 9.981 12.5098 12.5098 12.5098 12.5098 12.5098 12.5098 12.5098 12.5098 7.7244 7.7244 7.7244 7.7244 7.7244 7.7244 7.7244 7.7244 5.6519 5.6519 5.6519 5.6519 5.6519 5.6519 5.6519 5.6519 12.2673 12.2673 12.2673 12.2673 12.2673 12.2673 12.2673 12.2673 7.9118 7.9118 7.9118 7.9118 7.9118 7.9118 7.9118 7.9118 7.2635 7.2635 7.2635 7.2635 7.2635 7.2635 7.2635 7.2635
1050005890 14366.9 20.1074 11.1313 11.1313 11.1313 11.1313 11.1313 11.1313 11.1313 11.1313 15.838 15.838 15.838 15.838 15.838 15.838 15.838 15.838 7.3253 7.3253 7.3253 7.3253 7.3253 7.3253 7.3253 7.3253 6.4023 6.4023 6.4023 6.4023 6.4023 6.4023 6.4023 6.4023 12.7172 12.7172 12.7172 12.7172 12.7172 12.7172 12.7172 12.7172 6.9095 6.9095 6.9095 6.9095 6.9095 6.9095 6.9095 6.9095 7.2207 7.2207 7.2207 7.2207 7.2207 7.2207 7.2207 7.2207
1050006520 4781.1 36.8867 16.9323 16.9323 16.9323 16.9323 16.9323 16.9323 16.9323 16.9323 12.5323 12.5323 12.5323 12.5323 12.5323 12.5323 12.5323 12.5323 7.3576 7.3576 7.3576 7.3576 7.3576 7.3576 7.3576 7.3576 10.0027 10.0027 10.0027 10.0027 10.0027 10.0027 10.0027 10.0027 12.1651 12.1651 12.1651 12.1651 12.1651 12.1651 12.1651 12.1651 10.2572 10.2572 10.2572 10.2572 10.2572 10.2572 10.2572 10.2572 10.6335 10.6335 10.6335 10.6335 10.6335 10.6335 10.6335 10.6335
1050006530 11102.3 33.0052 23.3157 23.3157 23.3157 23.3157 23.3157 23.3157 23.3157 23.3157 19.2066 19.2066 19.2066 19.2066 19.2066 19.2066 19.2066 19.2066 12.0323 12.0323 12.0323 12.0323 12.0323 12.0323 12.0323 12.0323 13.3728 13.3728 13.3728 13.3728 13.3728 13.3728 13.3728 13.3728 17.5895 17.5895 17.5895 17.5895 17.5895 17.5895 17.5895 17.5895 14.6105 14.6105 14.6105 14.6105 14.6105 14.6105 14.6105 14.6105 15.3683 15.3683 15.3683 15.3683 15.3683 15.3683 15.3683 15.3683
1050006850 28620.5 13.5388 12.1175 12.1175 12.1175 12.1175 12.1175 12.1175 12.1175 12.1175 12.6325 12.6325 12.6325 12.6325 12.6325 12.6325 12.6325 12.6325 7.2586 7.2586 7.2586 7.2586 7.2586 7.2586 7.2586 7.2586 6.6836 6.6836 6.6836 6.6836 6.6836 6.6836 6.6836 6.6836 9.968 9.968 9.968 9.968 9.968 9.968 9.968 9.968 8.291 8.291 8.291 8.291 8.291 8.291 8.291 8.291 7.814 7.814 7.814 7.814 7.814 7.814 7.814 7.814
1050006860 7037.8 14.7868 17.0612 17.0612 17.0612 17.0612 17.0612 17.0612 17.0612 17.0612 12.4168 12.4168 12.4168 12.4168 12.4168 12.4168 12.4168 12.4168 8.7632 8.7632 8.7632 8.7632 8.7632 8.7632 8.7632 8.7632 8.9957 8.9957 8.9957 8.9957 8.9957 8.9957 8.9957 8.9957 9.9157 9.9157 9.9157 9.9157 9.9157 9.9157 9.9157 9.9157 11.3292 11.3292 11.3292 11.3292 11.3292 11.3292 11.3292 11.3292 10.9473 10.9473 10.9473 10.9473 10.9473 10.9473 10.9473 10.9473
