"HydroSHEDS_ID" "Area" "W_Small" "W_Large" "W_Combined"
1050000010 45567 5.252957907 2.0784222894 1.985511554
1050001370 11678.4 4.638880042 2.1870303568 2.249918449
1050001380 5524.6 4.542088475 2.2030413778 2.262585813
1050001510 42400.5 5.747213902 2.2235304576 2.24383394
1050001520 16198.5 4.865114496 2.0300621548 2.067522109
1050002290 4584 4.634759873 2.164388245 1.932217011
1050002300 11221.8 5.032810096 2.2367713252 2.268970769
1050002760 63986.6 6.816108221 2.431342309 2.174157803
1050002770 35181.7 5.997786899 2.4355483106 2.141391564
1050003990 62992.8 7.339458873 2.506668705 2.656034027
1050005720 5339.9 5.704080719 2.5382256758 2.497038958
1050005730 3028.6 5.583142943 2.4424144066 2.348449812
1050005860 4797.4 5.66549905 2.5373385456 2.515278738
1050005870 477.4 5.635053614 2.5582087592 2.6450466
1050005880 4169.8 5.616072211 2.5299852822 2.458614831
1050005890 14366.9 5.859078739 2.5807657258 2.132887363
1050006520 4781.1 5.501031772 2.4793383836 2.155916421
1050006530 11102.3 5.777039331 2.4658280554 2.490297502
1050006850 28620.5 6.41194109 2.5640910536 2.651555669
1050006860 7037.8 5.870747581 2.472097359 2.911371223
1050007000 26077.6 6.505393578 2.7436067432 2.911639197
1050007010 708.7 5.840724073 2.6231653634 3.047339295
1050007060 6517.1 6.045465057 2.7503465474 3.043772193
1050007070 7799.8 6.146752973 2.7292094738 3.087075916
1050007260 64696.3 7.743402459 2.7629991466 2.930643474
1050007270 30966 7.256402953 2.9681050106 3.342540714
1050008100 1426.2 7.383902449 3.7903488214 3.85180461
1051144990 619.5 7.390718181 3.9115073378 3.903939153
1051145090 14434.3 7.91109677 4.0924911836 3.943191005
1051139500 23961.1 7.979815447 3.9583046466 3.859708093
1051139430 49429.4 8.302330427 3.5044174542 3.59272938
1051131830 123925.3 10.553780008 3.494239824 3.539320047
1051131990 2146.6 7.405441337 3.832869803 3.822048668
1051132520 3836.5 7.339229852 3.6259551616 3.764409409
1051132340 8577 7.344570513 3.5042352026 3.699967964
1051115400 31003.9 7.638455774 3.3860540748 3.532034715
1051115240 52926.1 8.553034116 3.6783799524 3.672281886
1051137860 12864.4 7.322726642 3.29909142 3.59528012
1051137960 5838.4 7.234098751 3.4268893122 3.676282564
1051118600 22823.2 7.433821989 3.4924148706 3.241411287
1051118440 36190.4 7.797586526 3.2960514804 3.298305875
1051046600 10533.6 6.710556238 2.9964397128 3.326091545
1051046480 15098.2 6.91734494 3.08797807 3.356976782
1051038680 402.4 6.508142374 3.0531745752 3.409968337
1051038740 60316.5 8.154264936 3.3884927484 3.04234202
1051035420 23063.3 6.923847555 3.195832395 3.000354879
1051035300 24860 6.986710731 3.2891392486 3.117727177
1051014470 45571.4 7.428200468 3.0592763872 3.077359208
1051014460 21023.9 6.93081562 3.0085656012 3.237144937
1050992050 19188.5 6.736144587 3.5824298982 2.543772445
1050991900 15084.5 6.642771925 3.5595163334 2.729012601
1050982500 33817.9 7.154467217 3.044085457 3.100923326
1050982060 11241.5 6.458424086 3.0143908088 3.174264256
1050929730 7529.7 6.293412099 3.365122207 3.024339291
1050929860 15232.8 6.384209483 3.0323179306 2.955399503
1050918220 3260.9 6.089097469 3.2535843794 2.764713245
1050918230 14846.2 6.31497513 3.2763758644 2.667159173
1050901700 27291.6 6.708695027 3.4313692394 2.368182811
1050901710 10541.8 6.099605004 3.2850099432 2.281872638
1050008110 49488.3 8.999008482 4.043471932 3.977137866
1050008470 95248.8 10.029544861 3.6622219786 3.638277567
1050008480 1482.6 7.63587615 4.0092363436 4.026032397
1050008570 46797.7 8.472476005 3.5625306218 3.434491082
1050008580 32106.1 8.440420337 3.7918478562 3.811692608
1050009010 51382.7 8.899693073 3.7236880446 3.562440076
1050009020 7777.6 7.946920824 4.0700539096 3.95670523
1050009130 43302.3 8.847225845 3.817254123 3.578829521
1050009140 244.5 8.038386721 4.237808417 4.253632149
1050009170 17616.1 8.369946183 4.0092048162 3.893686732
1050009180 7782.7 8.223007723 4.1719865918 4.172045047
1050009450 5663 8.286336101 4.2267047246 4.216461756
1051299640 5305.9 8.153033689 3.9806897014 4.122239589
1051299770 8226.7 8.274267859 4.0369658138 4.139709888
1051299560 72274 10.082656726 3.9920166504 3.731933687
1051299550 20159.4 8.218017008 3.8146635064 3.312920835
1051285320 27779.8 8.424643567 3.8317959542 3.740896759
1051285400 3108.3 7.838873671 3.8290948122 3.813626458
1051289610 29211.2 8.561272989 3.8240062066 3.614328938
1051289620 5406.7 7.690742286 3.7589597952 3.438466902
1050009460 56548.9 9.822639594 4.1036987264 4.138270541
1050010030 17865.4 8.797700558 4.0965478372 4.191042633
1051358080 60989.3 10.17457707 4.0637077228 4.120626314
1051357890 6690 8.360828159 3.9489860954 4.125109207
1051355140 22821.4 8.916655645 4.0395642426 4.11248225
1051355040 10318.9 8.388191075 3.9642645878 4.029903057
1051363390 13608.9 8.533128184 4.0149597476 3.998091537
1051363500 9288.5 8.438850633 3.9765184806 3.841322122
1051360960 7525.5 8.42068675 4.0438290652 3.952584629
1051360840 6210.4 8.167447168 3.9602887028 3.644768232
1050010040 56638.4 10.083528188 4.1319057872 4.244154787
1050010590 61392.1 10.304580245 4.0495865074 4.138398322
1050010600 37650.8 9.746995288 4.140321404 4.351406998
1050011120 10247.3 8.946278343 4.1026086786 4.299927786
1050011130 3171.1 8.952873872 4.1918864508 4.512621753
1050011180 14851.8 9.101161933 4.1984373114 4.278065138
1050011190 28848.2 9.743188996 4.3611583012 4.492191081
1050011420 23076.1 9.39700834 4.2676060432 4.19810571
1050011430 3904.2 9.257388389 4.5620210798 4.679751243
1050011500 19105.4 9.639317772 4.5329938568 4.601254789
1050011510 409.9 9.115423543 4.2510847466 4.599551513
1050011530 4421.4 9.554664224 4.7364454148 4.753486668
1050011660 11174.1 9.462114634 4.4654334684 4.6288439
1051472390 42825.7 9.999071629 4.1936135118 4.091421295
1051472430 26166 9.565555228 4.081196806 4.362055989
1051447780 1176.5 8.687075569 3.9301979022 4.312906464
1051447890 54757.3 10.130422122 3.781621718 3.928449292
1051443690 16384.8 8.895772788 3.978909018 3.92665203
1051443680 9389.5 8.790042597 3.868444111 4.03698974
1051430860 34314.1 9.699720952 4.0783911116 4.059134287
1051430830 29230.5 9.236139778 3.956345886 3.907922276
1051398950 8467.9 8.512532283 3.8580104214 3.873906678
1051398880 12745.3 9.301294935 4.141166631 3.654622788
1051431950 25126.2 9.235353944 3.8208896112 3.9624552
1051431940 766.6 8.589294595 3.981054099 4.161569677
1051382440 11679.3 8.572043145 3.8211459982 3.927700244
1051382340 3508.6 9.113729344 4.1169174636 3.54457968
1051431680 19076.7 9.041498515 3.9331451814 3.953797168
1051431480 7760.6 8.658733546 3.9491594308 3.885072955
1051378410 21294.2 9.615037301 4.041346961 3.210179919
1051378400 8285.8 8.353518464 3.6658119956 3.740529762
1051418940 23152.4 9.02713755 3.9847251336 3.975845808
1051418880 44507.5 9.649918536 3.999002452 3.946105235
1051438780 63954.6 10.475899493 4.0483649614 4.14762803
1051438860 4447.7 8.661282808 3.8296866744 3.927639093
1051347100 39974.4 9.224876536 3.9739272684 3.319432515
1051347090 12277.9 8.314586858 3.832510986 3.626700063
1051451560 51084.7 10.176465419 3.884854465 4.081904747
1051451550 3885.9 9.087709311 4.2518150162 3.821697907
1051453310 4039.1 9.289582488 4.4365135608 3.94709305
1051453390 6857.4 8.829689844 3.8141505936 4.072242446
1051457490 19812.5 9.460453578 4.1187301508 4.03632623
1051457550 10225.4 8.939128092 3.8392908124 4.101420545
1051387160 10478.1 8.601933682 3.9462389172 4.025533345
1051387100 15786.3 8.762298975 4.0415650238 4.089217056
1051478700 21896.4 9.219925632 3.7532148412 4.061267856
1051478770 43487.7 10.064056636 3.9173116204 4.201096034
1051376970 6263.8 8.333536302 4.0767374748 3.86680393
1051376870 2724.8 8.404120238 4.0404565736 4.180070184
1051369690 4621.7 8.250098295 3.8755347754 3.966090522
1051369590 34243.3 9.108104124 4.029993384 3.899571295
1051473950 13358.1 9.281784723 4.0646511718 4.26954394
1051473880 81873.6 11.119596486 4.0864624112 4.22500731
1051413460 10521.3 8.810099508 4.2767192972 4.213894012
1051413580 2093.3 8.555568103 4.1644415282 4.181653073
1051412570 4687 8.606687803 4.1857606202 4.173556111
1051412560 24667.5 9.092195549 4.279328099 4.145945822
1051409070 13507.8 8.948256281 4.2415648134 4.198531717
1051409000 2770.1 8.614542501 4.2605956218 4.205263841
1051487890 12945 9.277296129 4.1519013886 4.281920657
1051487960 21239.5 9.551146625 4.0805475294 4.268387889
1051400740 9436.2 8.705347336 4.3361436688 4.197815935
1051400750 24928.6 9.071334568 4.2069474592 4.122958693
1051466490 38279.8 9.902322831 4.1209468458 4.234578465
1051466350 32013.2 9.680873164 4.1426237868 4.235669096
1051423960 42104.9 9.809516891 4.2193388014 4.195784377
1051423970 24981.8 9.362316682 4.2708719772 4.24606766
1051408100 255.9 8.595918827 4.2277446618 4.220040068
1051408090 47045.2 9.773105869 4.2410506898 4.115912443
1051405290 27931.5 9.285214202 4.3071700956 4.185201635
1051405300 72293.7 10.572281054 4.358158994 4.183744908
1051428730 9752.3 8.792689718 4.2543705228 4.198521571
1051428790 7853.7 8.787647146 4.1829329152 4.216541111
1051419860 9731 8.645547751 4.2172778898 4.09251123
1051419980 10114.8 8.703943439 4.2107550966 4.110710676
1051377550 24077.8 9.091569723 4.2915302518 4.144299297
1051377560 41788.5 9.599217708 4.3118460492 4.144630439
1050011670 17621.7 9.858624486 4.6473145824 4.756835479
1050011960 31021.8 9.948468033 4.3520086658 4.415793945
1050011970 1002.6 9.447551402 4.6124580768 4.780256053
1050012020 28572.9 9.935333108 4.3249080988 4.294098753
1050012030 16795.7 9.862704747 4.3817426114 4.713636362
1050012210 102590 11.943351488 3.8976406088 4.183506287
1050012220 24517.8 10.289290641 4.4717726086 4.787640827
1050012540 19903.9 10.259734185 4.473553143 4.827345878
1050012550 3159.8 9.663618857 4.1426197578 4.694127387
1050012590 2666.7 9.839162463 4.443550815 4.845190526
1051584690 64544.4 11.492874024 4.33666705 4.743018656
1051584780 2422.9 9.798694893 4.3779446922 4.822318004
1051576130 81485.4 11.599421811 3.7676174606 4.167335635
1051576090 77221.4 11.341249616 3.8073256904 4.288242138
1051548260 2565.2 9.041052977 3.5851165846 4.300231628
1051548220 29066.7 9.686215664 3.6396685688 4.165533386
1051548760 644.4 8.977407269 3.5793537094 4.286170983
1051548750 19497.6 9.566394928 3.7158420232 4.284417249
1051552540 39400.2 10.225922492 3.7049415112 4.224457961
1051552590 16047.4 9.500319476 3.6503933576 4.135906357
1051569210 4140.2 9.300293619 3.802355755 4.260719502
1051569100 11643.8 9.477603832 3.7500838924 4.289691849
1051571680 929.1 9.254211995 3.8205392462 4.401926355
1051571670 17432.3 9.73092681 3.8072534964 4.314995852
1051577000 29547.8 10.062460365 3.7364209166 4.188077583
1051576990 13325.6 9.667897834 3.86337207 4.320180308
1050012600 772.3 9.489586255 3.8623480998 4.529066235
1050012680 46725.2 10.840861649 4.1056969642 4.346899897
1050012690 10344.3 9.960265582 4.2040703004 4.592358623
1050012810 30280.3 10.422663906 4.1292125632 4.238806587
1050012820 29845 10.631674542 4.1973476948 4.447895839
1050013070 29195.5 10.349423111 3.937590961 3.99546883
1050013080 65284.3 11.70523256 4.0661409244 4.018479876
1050013950 20521.7 10.363518 3.8415880268 4.056222227
1050013960 7998 10.387380395 4.2348808298 4.553490341
1050014220 30262.9 10.622059272 3.6556214616 4.097290092
1050014230 5404.7 10.368676617 4.231002739 4.578210757
1050014370 21323.4 10.481943149 3.6897584934 4.265945173
1050014380 2669.4 10.358284583 4.2590634806 4.536780985
1050014490 34806.1 10.759607413 3.4381552658 4.115926773
1050014500 7381.5 10.279381246 3.8494803988 4.143801447
1050014920 45083.1 11.028625716 3.2862751748 4.023263049
1050014930 15664.1 10.492701296 3.7944487776 4.125912166
1050015030 12586.6 10.528304322 3.8406808204 4.601579255
1050015390 7797.6 10.338171009 3.8839476378 4.563983402
1050015400 5267 10.061966432 3.6125358436 4.531205273
1050015560 46364.3 10.973422936 3.2606566588 4.135431867
1050015570 2911.8 9.738827491 3.3053791502 4.474498724
1050015630 4739.9 9.594191817 3.2194830818 4.00970837
1050015640 5012 9.656497338 3.2340584828 4.290634305
1050015720 10168.2 9.614935305 3.116439575 3.940726758
1050015730 5918.9 9.506731173 3.1050301802 4.156137092
1050015850 5118.9 9.204671043 2.8260542234 3.644612738
1051620260 68986.1 11.247296676 2.9973701828 4.072001953
1051620200 86977.8 11.503964576 2.9953899808 3.927917939
1051624310 20461.2 9.91917003 3.2802272532 4.285664525
1051624330 2295.5 9.36006102 3.0985007864 4.243908062
1051626200 85063.1 11.96628645 3.1296033224 4.21524691
1051626210 71225.1 11.540209523 3.3167538686 4.228556007
1051609270 40070.4 10.566336144 3.5775027832 4.29134443
1051609210 33.3 NA NA NA
1051608780 1287.3 9.216491433 3.2977505362 4.262411985
1051608790 114574 12.756884007 3.705776813 4.314737266
1051604190 5432.5 9.521929041 3.5752615918 4.315081578
1051604130 58855.5 10.737449995 3.3682828758 4.102690841
1051601200 39903.3 10.384354597 3.561089717 4.223199011
1051601190 54648.9 10.61489642 3.4813158644 4.134459069
1051629430 98763.6 12.316306104 3.510655524 3.737320402
1051629370 2011.6 9.559733205 3.6683899938 4.354130003
1051628750 6292.3 9.687622468 3.7242644608 4.350418099
1051628760 35678.7 10.564647881 3.6321955658 4.333915657
1051623250 31051.2 10.345457382 3.7681032784 4.348315888
1051623270 14063 9.908311535 3.729095123 4.38576898
1051616230 51157 10.850563069 3.7346445906 4.274925549
1051616280 18982.3 9.986834614 3.6855495832 4.283578335
1051608870 20299.2 9.855088412 3.7735482148 4.159092394
1051608860 17977.9 9.820773896 3.7256571204 4.069278062
1050015860 22659.2 9.564304614 2.714966642 4.061216939
1050016760 16814.8 9.085389661 2.8768930674 3.664326301
1050016770 3965.9 8.820378739 2.7997358906 4.090954866
1050016850 29452 9.457549807 3.1036550802 3.755979264
1050016860 25185.5 9.325639036 2.9263225432 3.958738503
1050017350 29440.6 9.452211111 3.267375843 3.903767529
1050017360 705.7 8.567316093 2.7353832322 4.074672694
1050017390 16730 8.904365025 3.0086775094 3.726107765
1050017400 56886.6 9.922168544 2.82977017 3.567360212
1050018110 6 NA NA NA
1050018120 29863.7 9.177849861 3.3488447682 3.63221858
1051455380 4235.5 8.804572176 4.0990190652 4.231360581
1051455270 24373.5 9.251156208 4.0756135844 4.148900853
1051440140 6958.4 8.639619442 4.1122861368 4.136613388
1051440050 8196.2 8.737909955 4.1903046342 4.197733769
1051417260 6992.3 8.53982192 3.9459146772 4.06381064
1051417180 229.4 8.322062401 3.8314262734 4.033109994
1051415100 5238.5 8.428413439 4.0156332022 4.003615565
1051415020 22858.4 8.895655443 4.0355808082 3.950533502
1050018130 6307.9 8.307276734 2.7186465872 3.911465206
1050018310 19893.8 8.776402252 3.1767129796 3.719501819
1050018320 2393.4 8.161002263 2.8248155886 3.939541278
1050018410 10720 8.53429034 3.393183722 3.735901397
1050018420 27419.2 8.928044775 3.4005379478 3.712878273
1050018860 15674.1 8.695933503 3.9049123318 3.834727881
1050018870 5622.3 8.286979499 3.6690290246 3.845205967
1050019010 16712.8 8.610458279 3.9624108826 3.675355291
1050019020 18946.2 8.631027717 3.9521575754 3.656814112
1050019180 22907.8 8.693343579 3.976499427 3.686432746
1050019190 1081.2 7.906012801 3.3269811274 3.961095866
1050019270 22892.1 8.690102669 3.9924640594 3.839624407
1050019280 3212.6 8.035824141 3.6004953766 4.068855439
1050019420 6494.9 8.331302087 4.061959985 4.222730633
1051327980 31517.3 8.975723052 4.1607477128 3.964091013
1051327880 22935.1 8.587179334 4.0757617384 3.906216656
1051340390 27694.7 9.012428839 4.2877027602 4.052515405
1051340470 1618.6 8.130134463 4.2503141554 3.995132076
1051343940 23357.9 8.813374927 4.1518398038 3.96888774
1051344010 13303.5 8.362327933 3.9580172694 3.787758201
1051369030 14146 8.71289683 4.2852760564 4.0614085
1051369020 9016.8 8.463044952 4.134911152 4.011739684
1050019430 76150.4 10.105207824 3.9767960888 3.857568686
1050020040 11060.5 7.999252351 3.819855303 3.843673766
1051262460 8557.2 7.817321003 3.804243009 3.669695266
1051262550 6932.8 7.856761218 3.8581909288 3.800768007
1051251800 11330 7.788780796 3.7157858472 3.604096666
1051251910 7013 7.798279253 3.886898397 3.76340733
1051244040 22446.6 8.147845985 3.8831642702 3.567989374
1051244140 14334.4 8.020083292 3.942757308 3.74074627
1051228520 8884.1 7.846345931 4.106314771 3.886635924
1051228680 11748.6 7.892849129 3.9627669874 3.807502299
1051213630 67657.6 9.436072181 4.0181564334 3.76239474
1051213640 4979.4 7.739371081 4.2284347882 3.971661675
1051210800 4930.7 7.812238603 4.2498561518 4.0291042
1051210720 136173.6 11.756176934 4.3918990416 4.035957786
1051214380 81650.2 10.19699112 4.1576904472 3.889535063
1051214450 270904.4 15.912545834 4.1260859148 3.812405881
1051174950 94.9 7.753687455 4.417616853 4.0474702
1051174960 14082.8 8.223065262 4.674244684 4.112225003
1051173010 71885 9.479566146 4.2301512448 3.926776858
1051173020 858.7 7.752915026 4.561062936 4.15792829
1051163830 23172.5 8.111306509 4.4551383846 4.051033208
1051163840 29980.6 8.39806664 4.56529768 4.101727596
1051156960 1678.3 7.972397565 4.882938101 4.149949638
1051156950 89105.2 9.919299933 4.4493053126 3.989511067
1051142510 1180.4 7.852610944 4.8340639792 4.125038736
1051142520 189724.2 13.18156065 4.3808854164 3.987048587
1051129350 151486.1 11.777260934 4.4998339784 3.970803817
1051129360 82953.6 9.826902815 4.4112891802 3.991266014
1051235290 149479.8 12.239915172 4.178315308 3.89071876
1051235380 10179.5 7.963802949 4.2559611682 3.817617964
1051248590 165579.6 12.971810552 4.2164429944 4.030196254
1051248600 70611.6 10.040908327 4.260318347 4.007704097
1051103490 7654.8 7.327908393 4.2182157446 3.784173526
1051103500 84196.3 9.294326344 4.0671257572 3.635105374
1051094100 39859.7 8.055482741 3.9830873322 3.568269602
1051093980 27340.2 7.70316997 4.090604134 3.619583158
1051052780 70862.7 8.930697484 4.1481005744 3.738710492
1051052770 31448.7 7.766479794 4.1662565876 3.719496646
1051015610 40460.3 7.90205243 4.1292633112 3.702193003
1051015760 23802.8 7.59304424 4.1965207904 3.75750279
1051115180 121167.9 10.758348864 4.3509384656 3.737500094
1051115330 6242.4 7.596313224 4.4957415652 3.988183286
1051125060 315178.7 16.88510452 4.29723153 3.706323768
1051125130 104166.1 10.722732426 4.2201633984 3.964169274
1051037320 80941.8 9.014258093 4.1407670706 3.653656043
1051037650 2888.9 7.08264359 4.357199612 3.860696862
1051040200 168609.6 11.811053427 4.2268862662 3.708158833
1051040300 140156.2 11.198363665 4.3604953518 3.794896763
1051259940 10843.4 8.227419136 4.3430570656 4.137072152
1051259950 3891.9 7.973243335 4.3440036142 4.039690613
1051266120 9655 8.050247304 4.1821090704 3.979942021
1051266020 18016.3 8.229358601 4.056258065 3.646381615
1051273600 2579.2 8.020399686 4.322410004 4.136498298
1051273520 11311.3 8.224928396 4.2721326044 4.038865766
1051279010 165263.4 13.043326028 4.2735130972 3.985174677
1051279020 53014.7 9.483605823 4.212224249 3.843617174
1051265610 5946.8 8.294616988 4.188237778 3.253377563
1051265730 59910.7 9.896309788 4.0951715176 3.431213292
1051259210 13470 7.943356246 3.9897457348 3.605284665
1051259200 35581.5 8.879804324 4.105445314 2.892908494
1051315930 101074.7 11.298881996 4.2775007464 4.073485939
1051315940 27097.4 8.88612382 4.2970098252 3.964856762
1051250790 66866.1 9.444783104 3.9973748792 3.710483146
1051250830 53172.5 9.283929776 4.094244902 3.850607053
1051366570 18272.7 9.048522757 4.516266043 4.051299139
1051366720 63620.8 9.981563311 4.1376562922 3.970684488
1050020050 20434.1 8.11348947 3.726212544 3.656900713
1050020240 59761.9 9.150486601 3.7458257018 3.64922398
1050020250 53029.1 8.916502976 3.7127424776 3.683562934
1050020570 10653.5 7.708298738 3.9525423596 3.878443438
1051157490 12973.8 7.349312478 3.6351469644 3.401119269
1051157500 32636 8.142913274 3.7233609228 3.442712428
1051145820 17353.6 7.555749957 3.7453377526 3.274621441
1051145730 11257.3 7.244265433 3.6824566826 3.404322592
1051147340 67139.1 9.180862333 3.8553553586 3.55677902
1051147350 38629.6 8.14382571 3.8301915156 3.590994435
1051115250 10149.6 7.449532721 4.147497743 3.855927205
1051115150 14421.4 7.402967977 3.9886382718 3.690908387
1050020580 19159.5 7.6136252 3.6203494408 3.624565116
1050021110 7432.8 7.1102763 3.606751338 3.287959818
1050021120 1959.2 7.07927226 3.6991704732 3.725950868
1050021220 13559.5 7.262464886 3.7554250152 3.384812211
1050021230 2086 7.052185817 3.8535110398 3.680499067
1050021340 30962.6 7.76843108 3.8299091856 3.50072911
1050021350 9968.4 7.073403353 3.7307175634 3.38664148
1050021440 27887 7.575773451 3.857245567 3.53181333
1050021450 342.9 6.910845535 3.7840852074 3.845400874
1050021500 10758.4 7.013302945 3.795019701 3.390185309
1051032360 43208 7.819094398 3.9222162568 3.297547664
1051032520 28778 7.565316855 3.9938514086 3.587469471
1051004170 10235.4 6.90673826 4.03264177 3.540868319
1051004180 20268.3 7.132857963 3.9479611238 3.467276177
1050967880 7986.2 6.612411384 3.8602233528 3.19734053
1050967890 1972.1 6.559781877 3.930646267 3.450572218
1050955790 5823.7 6.594956255 3.8953096614 3.393662885
1050955650 4595.9 6.469300357 3.8320065782 3.327227807
1050021510 34694.8 7.657096728 3.7136584224 3.283014492
1050021910 52698.8 8.137729618 3.7461977336 3.464809932
1050021920 264.3 6.787166761 3.7264464026 3.795324938
1050021940 26836.6 7.625088149 3.8255834542 3.805834539
1050022420 29461.2 7.44698503 3.778713882 3.610354955
1050909890 2639.8 6.430672418 3.6639118084 3.421203824
1050909900 38471.4 7.477043756 3.6346472132 3.492950482
1050892990 20826.6 6.955188058 3.6958415252 3.550775142
1050893000 15286.4 6.63323853 3.5779463184 3.369604671
1050870170 25992.3 7.088063538 3.6764112508 3.548111028
1050870030 65667.9 8.0268222 3.5366615444 3.381369848
1050909040 23060.6 7.054448185 3.706793521 3.013503012
1050908780 24305.9 7.024321116 3.5952871356 3.45784214
1050845560 2238.7 6.366316642 3.7189998484 3.562786146
1050846020 10081.2 6.555608189 3.6792278866 3.553747179
1050827040 33075.6 7.149257898 3.5857980776 3.454398103
1050827030 11693.3 6.56836482 3.6930262764 3.564214538
1050887720 6755.7 6.382115232 3.4668675316 3.3425026
1050888070 19973.5 6.991215021 3.8026141878 3.211576955
1050874630 38299.5 7.332894551 3.5256305774 3.388078922
1050874640 22070.7 6.988896089 3.7830657346 3.056809431
1050760290 13040.4 6.337566629 3.411053915 3.384609857
1050760280 634.7 6.070183999 3.4495801646 3.417364762
1050755820 3493.8 6.171062404 3.5286665868 3.468644235
1050755960 4039.5 6.240840588 3.6247620748 3.532189005
1050747640 506.7 6.045469788 3.4587231416 3.431761074
1050747470 71458.3 7.647486613 2.9019373734 3.104325388
1050839560 113153.4 9.647983082 3.6520808964 3.360274991
1050839280 52868.3 7.570954589 3.363084743 3.285185491
1050736270 14980.9 6.267309743 3.2310096658 3.310107227
1050736280 17403.9 6.418898868 3.3545415684 3.365464153
1050742280 13583.2 6.539001934 3.6425802464 3.525698148
1050742220 287.9 6.027141006 3.4266166436 3.417141335
1050741300 4442.5 6.113920062 3.458783776 3.435341692
1050741380 13973.3 6.52723003 3.6039462576 3.516329181
1050722720 61138.4 7.581562951 3.1647948562 3.282477529
1050722570 15118 6.111175086 3.012434794 3.207650132
1050694130 12363.6 6.179802794 3.25500114 3.287472235
1050694020 6610.3 5.812888985 3.027402305 3.158409454
1050669460 42280.6 6.458238726 2.6610576748 2.948407808
1050669470 168547.9 10.196377935 2.6524784378 2.915328888
1050680300 54.2 5.746487247 3.207658545 3.185510823
1050680480 31108.5 6.68598835 3.1907659708 3.241155772
1050677950 48311.3 6.834187252 2.8208860584 3.026800298
1050677960 38932 6.746647413 2.9911194338 3.138365418
1050668450 31279.5 6.352419016 2.7879225324 3.076190762
1050668760 39260.7 6.918315461 3.1560144146 3.276449994
1050635020 23901.6 6.033776802 2.746236302 3.034300666
1050635010 54138.3 7.16574486 2.9941997228 3.151022625
1050577750 95223.4 8.165531085 2.790066189 3.018420514
1050577760 87306.6 7.597694845 2.586477881 2.842469186
1050515770 31177.8 5.968463906 2.62348346 2.854521497
1050515500 63509.3 6.595377759 2.4366330194 2.679987734
1050514030 43161.2 6.402718504 2.624656884 2.835993875
1050513910 116.6 5.122417125 2.6645820842 2.89309884
1050513230 65443.2 6.79440361 2.4714438324 2.61878089
1050513090 113585.4 7.888847151 2.3470034954 2.465668733
1050603890 28366.8 6.617124067 3.3202230566 3.24133009
1050603880 32991.1 6.688765949 3.2330316446 3.240138028
1050641670 9551.9 5.989968924 3.188544678 3.251163254
1050641660 520 5.870492098 3.4342846056 3.323162373
1050651900 11358 6.232757172 3.437124602 3.35621263
1050652110 9718.1 6.245522165 3.439552155 3.327487503
1050682900 2173.4 5.959317241 3.3998881866 3.368509301
1050683010 6954.7 6.087586661 3.4001130674 3.379438318
1050689850 6558.8 6.13786074 3.4887153136 3.41486967
1050690130 8385 6.168994382 3.4313106496 3.405518488
1050710240 463.9 5.976545278 3.5223738408 3.437292683
1050710380 19653.1 6.581610289 3.5292549114 3.43008838
1050696660 4953.5 5.897417629 3.3238099574 3.284393588
1050696830 9438.2 6.199690176 3.5134785788 3.372811623
1050715100 32653.4 7.072512824 3.6805588124 3.517927725
1050715340 43098.7 7.409355423 3.655150901 3.505311126
1050737100 8346.5 6.265560818 3.5723736476 3.44106132
1050737110 33399.3 7.20274814 3.7901356192 3.498290664
1050761260 19350.5 6.634432106 3.7155957596 3.36860731
1050761270 48725.4 7.665654311 3.8307455446 3.479985522
1050022430 25595.8 7.620180841 3.9686396042 3.842628583
1050022910 14099.9 6.974724781 3.9223118598 3.627020392
1050022920 10951.9 6.992614147 3.938065107 3.694197963
1050023020 48394.1 7.904041451 3.7604598346 3.618891812
1050023030 217.9 6.460274338 3.2762525288 3.579266866
1050023050 59907.1 8.180387035 3.7306774042 3.631074042
1050023060 3983.6 6.66816965 3.722641488 3.714779848
1050023130 24089.4 7.142091535 3.739661683 3.593279146
1050023140 9712.2 6.850530958 3.6669157628 3.680619713
1050023300 35848.3 7.859640145 4.053189965 3.559020197
1050915980 35567.9 7.614893654 3.8503808088 3.66238863
1050915990 75691.2 8.424912474 3.5546842888 3.458535848
1050873650 4545.4 6.493771933 3.6459087074 3.636124063
1050873640 52495 7.866941637 3.658520405 3.582476613
1050842700 5999.8 6.407225346 3.6266528588 3.555441895
1050842500 8306.7 6.515201665 3.626792863 3.592084954
1050821060 5351.3 6.344604013 3.528256111 3.53406244
1050820780 1300.9 6.328556499 3.6459187214 3.592378857
1050803510 23789 6.81726533 3.5426137204 3.507822598
1050803360 5340.6 6.227037058 3.440569308 3.466207915
1050792830 11402.4 6.313148177 3.4117922418 3.429389395
1050792840 45481.8 7.195514385 3.2397294458 3.324542177
1050786860 15300.8 6.512700234 3.5147179288 3.468200283
1050786690 34510.8 6.975326399 3.3960067322 3.410635963
