"HydroSHEDS_ID" "Latitude" "Longitude" "Area" "Elevation" "Slope" "CTI" "NDVI"
"1050009140" -6.33 38.7897 244.5 22.7128 0.5658 12.1595 0.605
"1050009170" -6.9729 38.1247 17616.1 292.1155 3.8245 10.7037 0.597
"1050009180" -7.1643 39.1224 7782.7 95.1566 1.9251 11.0153 0.638
"1050009450" -7.8567 38.8253 5663 98.0771 1.4859 11.6671 0.621
"1051299640" -7.6564 38.1369 5305.9 121.7493 1.182 11.9019 0.522
"1051299770" -8.3708 38.3255 8226.7 234.8139 1.4937 11.3323 0.569
"1051299560" -9.1208 36.4395 72274 695.7525 5.4232 10.1254 0.613
"1051299550" -7.3439 36.403 20159.4 998.661 7.8357 10.0194 0.562
"1051285320" -6.7712 34.5426 27779.8 1212.1384 1.9873 10.9657 0.521
"1051285400" -7.2894 35.3506 3108.3 888.9469 1.719 11.7947 0.475
"1051289610" -8.3138 34.5004 29211.2 1331.9204 3.6302 10.6871 0.527
"1051289620" -7.9771 35.5425 5406.7 1633.8197 4.6909 10.0162 0.54
"1050009460" -9.6395 38.7547 56548.9 316.5597 2.2502 10.8524 0.613
"1050010030" -11.066 39.1096 17865.4 292.6094 2.0653 10.9902 0.598
"1051358080" -13.0796 36.8734 60989.3 599.1314 2.738 10.6028 0.599
"1051357890" -11.0602 38.0786 6690 347.0635 2.2319 10.6349 0.564
"1051355140" -11.688 36.9691 22821.4 524.221 2.4205 10.7291 0.589
"1051355040" -10.7521 37.2708 10318.9 612.3624 2.6397 10.4153 0.582
"1051363390" -11.224 35.9445 13608.9 714.3027 3.0976 10.4016 0.599
"1051363500" -12.5752 35.6866 9288.5 949.9397 4.6182 10.0231 0.6
"1051360960" -12.1446 35.3043 7525.5 831.1034 3.72 10.3412 0.609
"1051360840" -11.038 35.2695 6210.4 1034.3459 6.1649 9.6948 0.617
"1050010040" -12.4552 39.4281 56638.4 321.3632 2.1032 10.8062 0.615
"1050010590" -14.3036 37.8953 61392.1 530.8574 2.9907 10.6689 0.586
"1050010600" -14.8822 39.913 37650.8 206.0582 2.1076 10.71 0.614
"1050011120" -15.5659 39.1049 10247.3 271.6345 2.6401 10.5571 0.606
"1050011130" -16.4682 39.3564 3171.1 46.6589 1.0679 11.4688 0.587
"1050011180" -15.6825 38.3573 14851.8 403.1004 3.1203 10.3199 0.652
"1050011190" -16.5883 37.9456 28848.2 187.2335 2.1383 10.7532 0.684
"1050011420" -16.1866 36.7316 23076.1 476.0304 4.4114 10.0842 0.687
"1050011430" -17.461 36.9514 3904.2 54.4517 0.9695 11.8343 0.696
"1050011500" -17.3672 36.1651 19105.4 171.5324 1.6628 11.3348 0.712
"1050011510" -18.0698 36.856 409.9 3.9661 0.3675 12.5671 0.545
"1050011530" -18.2957 36.3828 4421.4 5.2575 0.1518 13.7178 0.657
"1050011660" -18.0377 34.927 11174.1 150.314 1.0746 11.8054 0.661
"1051472390" -15.5554 35.0666 42825.7 533.2663 3.8119 11.8533 0.571
"1051472430" -17.0359 34.2702 26166 302.7365 2.0773 10.998 0.57
"1051447780" -16.246 33.797 1176.5 232.2347 1.9304 10.9827 0.52
"1051447890" -17.1869 32.2612 54757.3 923.3942 4.3508 10.13 0.508
"1051443690" -15.2241 34.0441 16384.8 880.6283 4.7945 9.966 0.594
"1051443680" -15.748 33.2404 9389.5 423.2391 4.3174 10.4035 0.53
"1051430860" -15.6888 31.5295 34314.1 619.9103 3.4024 12.0746 0.518
"1051430830" -14.6324 32.6177 29230.5 835.915 4.7741 10.123 0.58
"1051398950" -14.0846 33.907 8467.9 1137.3938 3.1952 10.8929 0.507
"1051398880" -13.2949 34.5843 12745.3 666.1296 2.6643 19.1155 0.183
"1051431950" -16.914 30.3914 25126.2 1058.8562 3.4918 10.5142 0.503
"1051431940" -15.5627 30.5549 766.6 441.7718 3.1626 10.8025 0.55
"1051382440" -13.4073 33.5006 11679.3 1069.4637 2.1668 11.3427 0.473
"1051382340" -12.5749 34.6455 3508.6 585.0163 2.2369 21.5196 0.052
"1051431680" -15.6872 29.3483 19076.7 800.9988 4.4615 10.4659 0.55
"1051431480" -15.1457 30.2299 7760.6 655.5896 5.781 9.9988 0.582
