"P_Mean" "P_SD" "ET_Mean" "ET_SD"
41.3411428571429 37.1287596723823 40.81825 31.361723015485
13.9031428571429 8.7507910009814 12.1605 10.4665638378328
24.4541428571429 8.89019175699774 31.1721428571429 28.9196398976461
37.5617142857143 10.4608197052029 22.286625 17.4045128953671
43.3177142857143 14.1007537944405 86.500375 99.3277747761528
69.3594285714286 19.1752754422385 63.26225 70.7270839348589
68.912 15.1935150201218 104.58175 110.536969307299
277.183142857143 41.7653344670297 175.91875 83.3371429431593
200.542285714286 30.3356729484957 247.474625 127.968555857554
289.449142857143 64.4446384333834 202.88825 76.0838521721735
323.598 71.7081315844537 148.159375 60.3284632773844
186.083 50.55755194825 149.641125 109.174984405033
231.629857142857 54.8232136277708 200.0885 89.5434956974223
164.186714285714 55.5998038567112 295.680875 271.419483410794
223.537571428571 64.9312713075837 190.806125 113.857378127748
210.019 67.4643282631644 275.580625 142.693482529048
175.087142857143 44.6824568125962 189.993375 140.222878993141
123.991 26.9712862380223 294.58075 140.678811669653
158.999428571429 38.0452862601801 146.821125 87.336832603821
154.714571428571 32.1207876764002 259.177625 144.057818429107
171.125142857143 43.802788428853 127.326375 62.9356352904355
187.133714285714 36.6663583125562 367.508625 218.772764529733
169.332285714286 32.0633492101407 159.452875 90.9875571735538
177.153 32.7704233112726 219.720125 114.634167542339
197.135428571429 45.3031188325084 158.173125 80.9492544807063
217.501857142857 32.076354507272 372.09425 122.0192644436
288.502714285714 121.356797361766 610.76925 210.412153711811
319.692714285714 126.991862030229 724.248625 320.090548647427
488.816857142857 138.077457373785 717.7855 310.722290784369
450.441714285714 117.81486417499 742.236875 275.377202292439
430.300285714286 102.2955111148 528.650875 209.756364065168
336.111142857143 94.0045947537115 466.851 132.170526037929
484.127285714286 134.362706943698 557.870125 231.086432938252
389.264142857143 114.147715410674 472.711375 196.471841321518
322.865714285714 99.5039355381054 419.79025 155.573778803086
338.168142857143 67.8387087127219 442.412 153.176162255844
448.643428571429 87.8560013769827 577.9395 187.555772756494
242.197285714286 75.4318708277306 344.284 101.530578014705
269.494142857143 85.5142695800504 389.70925 131.899785293608
445.002714285714 194.34683798621 608.87625 203.094756648045
291.163 120.848337877137 441.730875 92.1493328530807
249.240285714286 63.4587192793191 351.429875 156.677536657244
271.512 71.3063705522398 337.3065 122.99624014811
253.491428571429 70.3209854971168 327.123875 158.906645573015
412.378428571429 152.832108201404 587.6925 100.077701436719
358.728714285714 135.298042668417 552.873 140.899126664636
413.708714285714 157.100531584836 603.629625 129.658935954447
325.440857142857 81.1429783539084 397.090125 66.5506422367583
244.617714285714 58.0999565510861 325.075875 104.213295903076
640.091857142857 256.724882823636 870.287375 117.750784982446
